公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
苏州融畅软件科技有限公司,融畅软件,50-150人,未融资,西湖区,Java开发工程师,3-5年,本科,20k-40k,股权可折现
杭州美间科技有限公司,美间,50-150人,A轮,西湖区,Java研发工程师,3-5年,本科,15k-20k,"五险一金,上升空间大,美女如云,弹性工作"
杭州信牛网络科技有限公司,信用管家,150-500人,不需要融资,西湖区,Java开发工程师,3-5年,大专,15k-25k,"双休,五险一金,带薪年假,餐补福利"
浙江企朋网络技术股份有限公司,企朋,150-500人,不需要融资,西湖区,Java研发工程师,1-3年,本科,10k-20k,"工程师文化,自由开放,高速成长,优秀的队友"
点我达网络科技有限公司,点我达,500-2000人,D轮及以上,下城区,java,3-5年,本科,17k-34k,"弹性工作,15薪,股票期权,双休"
北京中电博亚科技有限公司,中电博亚,50-150人,A轮,西湖区,JAVA开发工程师,3-5年,本科,15k-30k,"薪资丰厚,福利健全,双休+年假,扁平管理"
杭州腾展科技股份有限公司,腾展科技,50-150人,上市公司,西湖区,Java开发工程师,3-5年,本科,20k-35k,"全球化产品,海量用户,精英团队,股权激励"
浙江达摩网络科技有限公司,达摩网络,50-150人,A轮,西湖区,Java开发工程师,3-5年,本科,15k-25k,"期权奖励,扁平化管理,发展空间大,健身房福利"
浙江新华移动传媒股份有限公司,新移传媒,50-150人,不需要融资,上城区,Java工程师,3-5年,本科,13k-25k,"技术导向,景区环境,团队年轻,主流媒体"
杭州涂鸦信息技术有限公司,涂鸦智能,500-2000人,C轮,西湖区,Java开发工程师,不限,不限,13k-25k,"平台大,福利众多,不打卡"
杭州七创科技有限公司,白租,50-150人,A轮,余杭区,java开发工程师,不限,本科,15k-25k,弹性工作时间，带薪休假，下午茶，生日福利
上海裕宁信息科技有限公司,裕宁科技,50-150人,未融资,余杭区,Java开发工程师,1-3年,本科,10k-18k,"分布式,MQ,J2EE,JAVA"
郑州点读电子科技有限公司,咿啦看书,150-500人,A轮,滨江区,java开发工程师,3-5年,本科,10k-20k,"扁平化管理,行业独角兽,任性双休,福利活动好"
杭州之遇科技有限公司,赋能加速器,少于15人,未融资,西湖区,Java工程师,5-10年,本科,20k-30k,"团队氛围好,弹性工作,五险一金"
成都睿码科技有限责任公司,Remark Holdings,150-500人,上市公司,余杭区,Java开发工程师,3-5年,本科,12k-24k,"六险一金,年底双薪,年终绩效,多重福利"
杭州腾展科技股份有限公司,腾展科技,50-150人,上市公司,西湖区,Java,1-3年,本科,15k-25k,"海量用户,Top20,全员持股"
苏州融畅软件科技有限公司,融畅软件,50-150人,未融资,西湖区,Java开发工程师,3-5年,本科,20k-30k,福利和待遇非常好，有较好的上升空间
税友软件集团股份有限公司,税友软件,2000人以上,不需要融资,滨江区,Java开发工程师,3-5年,本科,13k-26k,"Java,j2ee"
浙江邦盛科技有限公司,邦盛科技,150-500人,B轮,西湖区,中级Java开发,3-5年,本科,12k-20k,"福利健全,提升空间大,股权分配,六险一金"
浙江远传信息技术股份有限公司,远传技术,500-2000人,上市公司,滨江区,Java开发工程师,5-10年,本科,10k-20k,"五险一金,餐补,年终奖金,定期体检"
国铁吉讯科技有限公司,国铁吉讯科技有限公司,150-500人,不需要融资,滨江区,Java后台开发工程师,3-5年,本科,10k-20k,"五险一金,绩效奖金,带薪年假,岗位晋升"
浙江优创信息技术有限公司,浙江优创,150-500人,未融资,滨江区,java开发工程师,1-3年,本科,6K-10K,双休，加班工资，各项福利齐全
杭州会搜科技有限公司,会搜股份,150-500人,上市公司,江干区,中级java,3-5年,本科,12k-24k,"五险一金,年终奖金,双休,员工旅游"
杭州有赞科技有限公司,有赞,500-2000人,上市公司,西湖区,Java开发工程师--广告平台方向,不限,不限,15k-25k,"福利待遇佳,发展空间大,氛围环境好,上市公司"
杭州酷汇网络技术有限公司,酷汇网络,15-50人,不需要融资,西湖区,Java开发工程师,3-5年,大专,10k-18k,"五险一金,年终奖,出国旅游,氛围友好"
杭州车厘子智能科技有限公司,车纷享,150-500人,不需要融资,拱墅区,JAVA开发工程师,3-5年,不限,10k-20k,"双休,项目奖金,年终奖,五险一金"
杭州今元标矩科技有限公司,金柚网,500-2000人,B轮,江干区,java开发工程师,3-5年,本科,15k-20k,"周末双休,五险一金,成长空间大,发展前景好"
浙江霖梓控股有限公司,霖梓控股,150-500人,B轮,滨江区,Java开发工程师,5-10年,本科,15k-30k,"福利多多,晋升发展,五险一金,周末双休"
连连银通电子支付有限公司,连连支付,500-2000人,不需要融资,滨江区,Java软件开发工程师,不限,不限,10k-15k,"扁平化管理,发展前景好"
浙江达摩网络科技有限公司,达摩网络,50-150人,A轮,西湖区,中级Java工程师,1-3年,本科,12k-17k,老板nice，水果零食，
苏州融畅软件科技有限公司,融畅软件,50-150人,未融资,滨江区,java,3-5年,本科,15k-23k,福利和待遇非常好，有较好的上升空间。
杭州腾展科技股份有限公司,腾展科技,50-150人,上市公司,西湖区,Java server 开发工程师,3-5年,本科,15k-30k,"精英团队,股票期权,千万级用户,全球top"
浙江远传信息技术股份有限公司,远传技术,500-2000人,上市公司,滨江区,java开发工程师,3-5年,不限,9k-18k,五险一金、餐补、年终奖金、定期体检
杭州有赞科技有限公司,有赞,500-2000人,上市公司,西湖区,Java开发工程师-效能平台-杭州-00449,5-10年,本科,20k-40k,业务挑战、技术挑战
浙江邦盛科技有限公司,邦盛科技,150-500人,B轮,江干区,JAVA开发工程师,1-3年,本科,7k-12k,"六险一金,福利健全,提升空间大,年终奖"
杭州云惠客科技有限公司,云惠客,15-50人,天使轮,拱墅区,java开发工程师,3-5年,本科,20k-30k,双休，年终奖丰厚，扁平管理
杭州洋驼网络科技有限公司,海拍客,500-2000人,C轮,西湖区,Java工程师,3-5年,不限,10k-20k,阿里系创业团队，薪资待遇优厚，老板Nice~
杭州鲲池传媒技术有限公司,锌财经,15-50人,天使轮,余杭区,JAVA开发工程师,1-3年,大专,15k-25k,"高颜值团队,小姐姐多,五险一金,技术大牛"
浙江吉利汽车有限公司,吉利汽车,2000人以上,上市公司,滨江区,JAVA开发工程师,3-5年,本科,12k-22k,"产品棒,有前景,大平台,氛围好"
杭州天翼智慧城市科技有限公司,中国电信杭州政务基地,150-500人,不需要融资,西湖区,Java开发工程师,3-5年,本科,14k-20k,"规范国企,周末双休,五险一金,团队和谐"
杭州空岛科技有限公司,空岛,15-50人,不需要融资,余杭区,JAVA,3-5年,大专,18k-30k,"大流量挑战,年底双薪,上班不打卡,发展空间大"
杭州如涵控股股份有限公司,如涵控股,500-2000人,C轮,江干区,Java,1-3年,本科,10k-20k,快速发展的互联网公司，boss 很牛，人很好
杭州冒险元素网络技术有限公司,环球黑卡,150-500人,B轮,滨江区,中级Java开发工程师,3-5年,本科,10k-20k,"公司盈利,广阔平台,节日福利,周末双休"
浙江卓家信息咨询有限公司,浙江卓家信息咨询有限公司,500-2000人,未融资,上城区,Java开发工程师,3-5年,大专,15k-25k,"周末双休,工作氛围"
道富信息科技浙江有限公司,美国道富,2000人以上,上市公司,西湖区,Java,不限,本科,10K-18K,出国机会，弹性工作 补充医疗
苏州融畅软件科技有限公司,融畅软件,50-150人,未融资,余杭区,java开发工程师,不限,本科,30k-45k,"氛围轻松,环境优美,加班少,团队成熟"
浙江卓家信息咨询有限公司,浙江卓家信息咨询有限公司,500-2000人,未融资,上城区,Java开发工程师,3-5年,大专,15k-25k,"周末双休,工作氛围"
道富信息科技浙江有限公司,美国道富,2000人以上,上市公司,西湖区,Java,不限,本科,10K-18K,出国机会，弹性工作 补充医疗
杭州橙鹰数据技术有限公司,橙鹰,150-500人,不需要融资,余杭区,资深java开发工程师（技术部）,3-5年,本科,15k-30k,"氛围浓厚,大数据应用,大牛多"
杭州鲲池传媒技术有限公司,锌财经,15-50人,天使轮,余杭区,JAVA开发工程师,1-3年,大专,15k-25k,"高颜值团队,小姐姐多,五险一金,技术大牛"
杭州衡泰软件有限公司,衡泰软件,500-2000人,不需要融资,西湖区,Java开发工程师,3-5年,本科,8k-14k,"双休,五险一金,导师制,团建"
杭州腾展科技股份有限公司,腾展科技,50-150人,上市公司,西湖区,资深Java工程师,5-10年,本科,25k-35k,"全球化产品,发展空间大,股权激励,精英团队"
北京广通信达软件股份有限公司杭州分公司,广通软件,150-500人,上市公司,西湖区,Java开发工程师,3-5年,大专,12k-24k,福利待遇好，发展空间大，技术氛围好
杭州有赞科技有限公司,有赞,500-2000人,上市公司,西湖区,Java开发工程师-电商方向-杭州-00782,1-3年,本科,15k-30k,"发展空间,企业文化,技术大牛,技术氛围"
杭州丈浔科技有限公司,丈浔科技,50-150人,未融资,滨江区,JAVA工程师,3-5年,本科,10k-20k,"周末双休,五险一金,包三餐,绩效奖金"
连连银通电子支付有限公司,连连支付,500-2000人,不需要融资,滨江区,Java (MJ000024),不限,大专,15k-30k,"双休,下午茶,餐补,团建"
浙江达摩网络科技有限公司,达摩网络,50-150人,A轮,西湖区,JAVA高级开发工程师,5-10年,本科,15k-30k,团队氛围好、正处于升期
厦门我在家软件技术有限公司,我在家,150-500人,B轮,余杭区,高级java开发工程师,5-10年,本科,25k-50k,"顶级资本,项目靠谱,牛人多,福利好"
杭州贝安云科技有限公司,贝安云,50-150人,未融资,西湖区,Java,1-3年,本科,10k-20k,技术大拿指导
浙江备胎网络科技有限公司,备胎控股集团,2000人以上,B轮,拱墅区,java工程师-BTBX05,5-10年,本科,15k-25k,"空间大,晋升快,环境好"
